	single_building_reference	building_space_floor_number	geometry	area_single_building_reference	n_single_building_references	area_building_reference	building_reference	building_space_use_type	building_spaces_by_floor	avg_building_spaces_area_with_communals_by_floor	avg_building_spaces_area_without_communals_by_floor	avg_building_spaces_communal_area_by_floor	avg_building_spaces_effective_year_by_floor	avg_building_spaces_typology_category_by_floor	avg_building_spaces_economic_value_by_floor	total_building_area_with_communals_by_floor	total_building_area_without_communals_by_floor	total_building_communal_area_by_floor	total_building_economic_value_by_floor	relative_building_floor_area_with_communals_by_floor	relative_building_floor_area_without_communals_by_floor	relative_building_floor_communal_area_by_floor
0	0208601DF3800G_0	0	POLYGON ((430164.63550964533 4580637.1224955665, 430162.0655 4580638.3025, 430180.09549732984 4580678.232494087, 430186.846 4580693.1925, 430190.276 4580700.7725, 430208.53598952 4580700.492000161, 430229.246 4580700.182, 430250.386 4580699.862, 430255.356 4580699.792, 430255.396 4580698.612, 430249.716 4580687.592, 430245.796 4580679.962, 430242.7455010122 4580674.0420019645, 430226.9155 4580643.312, 430224.3855 4580644.622, 430220.0455 4580646.882, 430217.2855 4580648.312, 430209.0355 4580652.602, 430205.6455 4580647.282, 430204.1255084127 4580644.672014446, 430199.9155 4580637.432, 430197.98550301074 4580634.122005164, 430196.445505307 4580631.482009098, 430195.6454998568 4580630.111999754, 430194.9355 4580628.892, 430195.5155 4580628.582, 430193.9655 4580625.952, 430192.905 4580624.142, 430190.005510684 4580625.471995099, 430180.55551867484 4580629.8124914225, 430180.31549998035 4580629.922500009, 430176.9455 4580631.4625, 430172.5755 4580633.4725, 430172.3255 4580633.5925, 430169.7055 4580634.7925, 430164.63550964533 4580637.1224955665), (430236.746 4580688.502, 430243.456 4580688.622, 430243.446 4580691.652, 430236.726 4580691.782, 430236.746 4580688.502), (430224.88550000003 4580666.822, 430224.4654999999 4580666.782, 430223.79550000007 4580666.572, 430223.4454999997 4580666.352, 430223.0855 4580666.162, 430222.2355 4580664.462, 430222.3355 4580663.842, 430222.4255 4580663.332, 430222.6155 4580662.832, 430222.9254999999 4580662.322, 430223.2255000001 4580661.982, 430223.7455 4580661.722, 430222.1355 4580658.412, 430225.1755 4580656.792, 430227.2555 4580661.002, 430225.9755 4580661.722, 430227.6155 4580664.562, 430227.9255 4580665.552, 430225.98549999995 4580666.652, 430225.5555000001 4580666.792, 430224.88550000003 4580666.822), (430222.696 4580688.912, 430222.666 4580691.852, 430215.926 4580692.062, 430215.796 4580688.962, 430222.696 4580688.912), (430201.166 4580689.162, 430201.016 4580692.2325, 430194.376 4580692.3925, 430194.2855 4580689.2425, 430201.166 4580689.162), (430188.6055 4580668.2325, 430184.9755 4580669.8425, 430182.3855 4580663.9625, 430185.8455 4580662.2725, 430188.6055 4580668.2325), (430184.9155 4580660.2725, 430181.6355 4580662.1625, 430179.0755 4580656.5225, 430182.5055 4580654.9425, 430184.9155 4580660.2725), (430177.4855 4580643.8425, 430173.9555 4580645.2825, 430171.5055 4580639.7625, 430175.0355 4580638.3625, 430177.4855 4580643.8425))	3850.8963576979977	1	3850.8963576979977	0208601DF3800G	Commercial	20	98.5	90.15	8.35	1967.0	4.0	49.64	1970.0	1803.0	167.0	992.8700000000001	50.0	46.0	4.0
1	0208601DF3800G_0	0	POLYGON ((430164.63550964533 4580637.1224955665, 430162.0655 4580638.3025, 430180.09549732984 4580678.232494087, 430186.846 4580693.1925, 430190.276 4580700.7725, 430208.53598952 4580700.492000161, 430229.246 4580700.182, 430250.386 4580699.862, 430255.356 4580699.792, 430255.396 4580698.612, 430249.716 4580687.592, 430245.796 4580679.962, 430242.7455010122 4580674.0420019645, 430226.9155 4580643.312, 430224.3855 4580644.622, 430220.0455 4580646.882, 430217.2855 4580648.312, 430209.0355 4580652.602, 430205.6455 4580647.282, 430204.1255084127 4580644.672014446, 430199.9155 4580637.432, 430197.98550301074 4580634.122005164, 430196.445505307 4580631.482009098, 430195.6454998568 4580630.111999754, 430194.9355 4580628.892, 430195.5155 4580628.582, 430193.9655 4580625.952, 430192.905 4580624.142, 430190.005510684 4580625.471995099, 430180.55551867484 4580629.8124914225, 430180.31549998035 4580629.922500009, 430176.9455 4580631.4625, 430172.5755 4580633.4725, 430172.3255 4580633.5925, 430169.7055 4580634.7925, 430164.63550964533 4580637.1224955665), (430236.746 4580688.502, 430243.456 4580688.622, 430243.446 4580691.652, 430236.726 4580691.782, 430236.746 4580688.502), (430224.88550000003 4580666.822, 430224.4654999999 4580666.782, 430223.79550000007 4580666.572, 430223.4454999997 4580666.352, 430223.0855 4580666.162, 430222.2355 4580664.462, 430222.3355 4580663.842, 430222.4255 4580663.332, 430222.6155 4580662.832, 430222.9254999999 4580662.322, 430223.2255000001 4580661.982, 430223.7455 4580661.722, 430222.1355 4580658.412, 430225.1755 4580656.792, 430227.2555 4580661.002, 430225.9755 4580661.722, 430227.6155 4580664.562, 430227.9255 4580665.552, 430225.98549999995 4580666.652, 430225.5555000001 4580666.792, 430224.88550000003 4580666.822), (430222.696 4580688.912, 430222.666 4580691.852, 430215.926 4580692.062, 430215.796 4580688.962, 430222.696 4580688.912), (430201.166 4580689.162, 430201.016 4580692.2325, 430194.376 4580692.3925, 430194.2855 4580689.2425, 430201.166 4580689.162), (430188.6055 4580668.2325, 430184.9755 4580669.8425, 430182.3855 4580663.9625, 430185.8455 4580662.2725, 430188.6055 4580668.2325), (430184.9155 4580660.2725, 430181.6355 4580662.1625, 430179.0755 4580656.5225, 430182.5055 4580654.9425, 430184.9155 4580660.2725), (430177.4855 4580643.8425, 430173.9555 4580645.2825, 430171.5055 4580639.7625, 430175.0355 4580638.3625, 430177.4855 4580643.8425))	3850.8963576979977	1	3850.8963576979977	0208601DF3800G	Offices	3	658.68	599.67	59.01	1967.0	4.0	181.21	1976.03	1799.0	177.02925	543.62	50.0	46.0	4.0
2	0208601DF3800G_0	1	MULTIPOLYGON (((430189.1555 4580670.2625, 430190.6155 4580673.4125, 430198.2655 4580669.902, 430180.3155 4580629.9225, 430176.9455 4580631.4625, 430172.5755 4580633.4725, 430173.9655 4580636.4825, 430171.1855 4580637.8725, 430169.7055 4580634.7925, 430164.63550964533 4580637.1224955665, 430162.0655 4580638.3025, 430180.0955 4580678.2325, 430182.7555 4580677.0225, 430187.8455 4580674.6825, 430186.3655 4580671.5525, 430189.1555 4580670.2625), (430182.3855 4580663.9625, 430185.8455 4580662.2725, 430188.6055 4580668.2325, 430184.9755 4580669.8425, 430182.3855 4580663.9625), (430179.0755 4580656.5225, 430182.5055 4580654.9425, 430184.9155 4580660.2725, 430181.6355 4580662.1625, 430179.0755 4580656.5225), (430175.0455 4580646.5725, 430178.0655 4580645.2725, 430181.6955 4580653.6225, 430178.8655 4580654.9225, 430175.0455 4580646.5725), (430171.5055 4580639.7625, 430175.0355 4580638.3625, 430177.4855 4580643.8425, 430173.9555 4580645.2825, 430171.5055 4580639.7625)), ((430221.5255 4580649.842, 430218.8555 4580651.292, 430217.2855 4580648.312, 430209.0355 4580652.602, 430220.2755 4580674.522, 430239.39548527345 4580674.112000315, 430242.7455 4580674.042, 430226.9155 4580643.312, 430224.3855 4580644.622, 430220.0455 4580646.882, 430221.5255 4580649.842), (430224.88550000003 4580666.822, 430224.4654999999 4580666.782, 430223.79550000007 4580666.572, 430223.4454999999 4580666.352, 430223.08550000004 4580666.162, 430223.3255 4580666.632, 430220.3655 4580668.162, 430218.9855 4580665.342, 430221.9155 4580663.832, 430222.2355 4580664.462, 430222.3355 4580663.842, 430222.4255 4580663.332, 430222.6155 4580662.832, 430222.9254999999 4580662.322, 430223.2255000001 4580661.982, 430223.7455 4580661.722, 430222.1355 4580658.412, 430225.1755 4580656.792, 430227.2555 4580661.002, 430228.6955 4580660.322, 430230.1955 4580663.212, 430227.6155 4580664.562, 430227.9255 4580665.552, 430225.98549999995 4580666.652, 430225.5555000001 4580666.792, 430224.88550000003 4580666.822)), ((430245.796 4580679.962, 430200.3355110126 4580680.511999867, 430186.6155 4580680.6725, 430186.846 4580693.1925, 430190.276 4580700.7725, 430208.53598952 4580700.492000161, 430229.246 4580700.182, 430250.386 4580699.862, 430250.386 4580696.942, 430250.396 4580692.192, 430245.806 4580692.192, 430245.786 4580687.572, 430249.716 4580687.592, 430245.796 4580679.962), (430243.456 4580688.622, 430243.446 4580691.652, 430236.726 4580691.782, 430236.746 4580688.502, 430243.456 4580688.622), (430234.246 4580692.172, 430224.386 4580692.582, 430224.186 4580687.872, 430234.006 4580687.802, 430234.246 4580692.172), (430222.666 4580691.852, 430215.926 4580692.062, 430215.796 4580688.962, 430222.696 4580688.912, 430222.666 4580691.852), (430213.526 4580692.772, 430203.516 4580692.942, 430203.4655 4580688.302, 430213.426 4580688.182, 430213.526 4580692.772), (430201.016 4580692.2325, 430194.376 4580692.3925, 430194.2855 4580689.2425, 430201.166 4580689.162, 430201.016 4580692.2325), (430187.166 4580693.2825, 430187.0555 4580688.5225, 430192.4355 4580688.5325, 430192.356 4580693.5725, 430190.256 4580693.4125, 430187.166 4580693.2825)))	2328.3926826900006	1	2328.3926826900006	0208601DF3800G	Residential	25	83.48	74.56	8.92	1967.0	4.0	38.4	2087.0	1864.0	223.0	960.0200000000001	100.0	89.0	11.0
3	0208601DF3800G_0	2	MULTIPOLYGON (((430189.1555 4580670.2625, 430190.6155 4580673.4125, 430198.2655 4580669.902, 430180.3155 4580629.9225, 430176.9455 4580631.4625, 430172.5755 4580633.4725, 430173.9655 4580636.4825, 430171.1855 4580637.8725, 430169.7055 4580634.7925, 430164.63550964533 4580637.1224955665, 430162.0655 4580638.3025, 430180.0955 4580678.2325, 430182.7555 4580677.0225, 430187.8455 4580674.6825, 430186.3655 4580671.5525, 430189.1555 4580670.2625), (430182.3855 4580663.9625, 430185.8455 4580662.2725, 430188.6055 4580668.2325, 430184.9755 4580669.8425, 430182.3855 4580663.9625), (430179.0755 4580656.5225, 430182.5055 4580654.9425, 430184.9155 4580660.2725, 430181.6355 4580662.1625, 430179.0755 4580656.5225), (430175.0455 4580646.5725, 430178.0655 4580645.2725, 430181.6955 4580653.6225, 430178.8655 4580654.9225, 430175.0455 4580646.5725), (430171.5055 4580639.7625, 430175.0355 4580638.3625, 430177.4855 4580643.8425, 430173.9555 4580645.2825, 430171.5055 4580639.7625)), ((430221.5255 4580649.842, 430218.8555 4580651.292, 430217.2855 4580648.312, 430209.0355 4580652.602, 430220.2755 4580674.522, 430239.39548527345 4580674.112000315, 430242.7455 4580674.042, 430226.9155 4580643.312, 430224.3855 4580644.622, 430220.0455 4580646.882, 430221.5255 4580649.842), (430224.88550000003 4580666.822, 430224.4654999999 4580666.782, 430223.79550000007 4580666.572, 430223.4454999999 4580666.352, 430223.08550000004 4580666.162, 430223.3255 4580666.632, 430220.3655 4580668.162, 430218.9855 4580665.342, 430221.9155 4580663.832, 430222.2355 4580664.462, 430222.3355 4580663.842, 430222.4255 4580663.332, 430222.6155 4580662.832, 430222.9254999999 4580662.322, 430223.2255000001 4580661.982, 430223.7455 4580661.722, 430222.1355 4580658.412, 430225.1755 4580656.792, 430227.2555 4580661.002, 430228.6955 4580660.322, 430230.1955 4580663.212, 430227.6155 4580664.562, 430227.9255 4580665.552, 430225.98549999995 4580666.652, 430225.5555000001 4580666.792, 430224.88550000003 4580666.822)), ((430245.796 4580679.962, 430200.3355110126 4580680.511999867, 430186.6155 4580680.6725, 430186.846 4580693.1925, 430190.276 4580700.7725, 430208.53598952 4580700.492000161, 430229.246 4580700.182, 430250.386 4580699.862, 430250.386 4580696.942, 430250.396 4580692.192, 430245.806 4580692.192, 430245.786 4580687.572, 430249.716 4580687.592, 430245.796 4580679.962), (430243.456 4580688.622, 430243.446 4580691.652, 430236.726 4580691.782, 430236.746 4580688.502, 430243.456 4580688.622), (430234.246 4580692.172, 430224.386 4580692.582, 430224.186 4580687.872, 430234.006 4580687.802, 430234.246 4580692.172), (430222.666 4580691.852, 430215.926 4580692.062, 430215.796 4580688.962, 430222.696 4580688.912, 430222.666 4580691.852), (430213.526 4580692.772, 430203.516 4580692.942, 430203.4655 4580688.302, 430213.426 4580688.182, 430213.526 4580692.772), (430201.016 4580692.2325, 430194.376 4580692.3925, 430194.2855 4580689.2425, 430201.166 4580689.162, 430201.016 4580692.2325), (430187.166 4580693.2825, 430187.0555 4580688.5225, 430192.4355 4580688.5325, 430192.356 4580693.5725, 430190.256 4580693.4125, 430187.166 4580693.2825)))	2328.3926826900006	1	2328.3926826900006	0208601DF3800G	Residential	28	92.0	82.11	9.89	1967.0	4.0	42.32	2576.0	2299.0	277.0	1184.96	100.0	89.0	11.0
